"","player_name","position","date_of_birth","age","nationality","club_name","league_name","season","year","first_name","second_name","goals_scored","assists","total_points","minutes.played","goals_conceded","creativity","influence","threat","bonus","bps","ict_index","clean_sheets","red_cards","yellow_cards","selected_by_percent","position_index","fpl_to_game"
"229","Edimilson Fernandes","Central Midfield","1996-04-15T00:00:00Z",20,"Switzerland","West Ham United","Premier League","2016/2017",2016,"Edimilson","Fernandes",0,1,38,1002,18,109.9,107.8,209,0,148,42.3,3,0,4,0,"3",3.41317365269461
"230","Moses Makasi","Central Midfield","1995-09-22T00:00:00Z",20,"England","West Ham United","Premier League","2016/2017",2016,"Moses","Makasi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3",NA
"231","Domingos Quina","Central Midfield","1999-11-18T00:00:00Z",16,"Portugal","West Ham United","Premier League","2016/2017",2016,"Domingos","Quina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3",NA
"232","Josh Cullen","Central Midfield","1996-04-07T00:00:00Z",20,"Ireland","West Ham United","Premier League","2016/2017",2016,"Josh","Cullen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,"3",NA
"233","Dimitri Payet","Attacking Midfield","1987-03-29T00:00:00Z",29,"France","West Ham United","Premier League","2016/2017",2016,"Dimitri","Payet",2,8,81,1513,28,1096.6,414,516,10,347,202.6,4,0,2,6.2,"4",4.81824190350297
"234","Manuel Lanzini","Attacking Midfield","1993-02-15T00:00:00Z",23,"Argentina","West Ham United","Premier League","2016/2017",2016,"Manuel","Lanzini",8,3,133,2708,53,863.3,639,629,20,635,213.5,9,0,9,2,"4",4.42023633677991
"235","Marcus Browne","Attacking Midfield","1997-12-18T00:00:00Z",18,"England","West Ham United","Premier League","2016/2017",2016,"Marcus","Browne",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4",NA
"236","André Ayew","Left Winger","1989-12-17T00:00:00Z",26,"Ghana","West Ham United","Premier League","2016/2017",2016,"André","Ayew",6,3,89,1439,25,233.4,324.4,505,5,257,105.6,6,0,1,1,"4",5.56636553161918
"237","Nathan Holland","Left Winger","1998-06-19T00:00:00Z",18,"England","West Ham United","Premier League","2016/2017",2016,"Nathan","Holland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4",NA
"238","Gökhan Töre","Right Winger","1992-01-20T00:00:00Z",24,"Turkey","West Ham United","Premier League","2016/2017",2016,"Gökhan","Töre",0,1,10,240,4,87.8,28.2,33,0,29,14.6,1,0,0,0.1,"4",3.75
"239","Sofiane Feghouli","Right Winger","1989-12-26T00:00:00Z",26,"Algeria","West Ham United","Premier League","2016/2017",2016,"Sofiane","Feghouli",3,3,55,1042,23,320.2,268,262,4,220,84.9,1,1,1,0.7,"4",4.75047984644914
"240","Michail Antonio","Right Winger","1990-03-28T00:00:00Z",26,"England","West Ham United","Premier League","2016/2017",2016,"Michail","Antonio",9,8,132,2433,43,503.1,622.4,1105,8,410,222.7,7,1,4,5.3,"4",4.88286066584464
"241","Robert Snodgrass","Right Winger","1987-09-07T00:00:00Z",28,"Scotland","West Ham United","Premier League","2016/2017",2016,"Robert","Snodgrass",7,6,133,2548,56,1050.1,550.2,538,16,503,212.3,3,0,2,6.3,"4",4.6978021978022
"242","Simone Zaza","Centre-Forward","1991-06-25T00:00:00Z",25,"Italy","West Ham United","Premier League","2016/2017",2016,"Simone","Zaza",0,0,10,459,14,112.4,16.4,207,0,21,32.9,2,0,2,0.1,"5",1.96078431372549
"243","Enner Valencia","Centre-Forward","1989-11-04T00:00:00Z",26,"Ecuador","West Ham United","Premier League","2016/2017",2016,"Enner","Valencia",3,3,54,927,12,117.6,194.2,490,3,173,79,2,0,1,1.7,"5",5.24271844660194
"244","Jonathan Calleri","Centre-Forward","1993-09-23T00:00:00Z",22,"Argentina","West Ham United","Premier League","2016/2017",2016,"Jonathan","Calleri",1,0,23,540,4,115,56.2,265,0,47,43.2,3,0,0,0.1,"5",3.83333333333333
"245","Andy Carroll","Centre-Forward","1989-01-06T00:00:00Z",27,"England","West Ham United","Premier League","2016/2017",2016,"Andy","Carroll",7,2,69,1312,27,220.8,351.8,620,6,256,119.2,3,0,3,2,"5",4.73323170731707
"246","Diafra Sakho","Centre-Forward","1989-12-24T00:00:00Z",26,"Senegal","West Ham United","Premier League","2016/2017",2016,"Diafra","Sakho",1,0,12,181,4,19.6,41.8,45,2,32,10.7,0,0,0,0.1,"5",5.96685082872928
"247","Ashley Fletcher","Centre-Forward","1995-10-02T00:00:00Z",20,"England","West Ham United","Premier League","2016/2017",2016,"Ashley","Fletcher",0,0,16,367,13,64.2,30.6,160,0,33,24.4,0,0,2,0.2,"5",3.92370572207084
"248","Steve Mandanda","Goalkeeper","1985-03-28T00:00:00Z",31,"France","Crystal Palace","Premier League","2016/2017",2016,"Steve","Mandanda",0,0,19,810,17,0,182.8,0,0,120,18.2,0,0,0,1.9,"1",2.11111111111111
"249","Wayne Hennessey","Goalkeeper","1987-01-24T00:00:00Z",29,"Wales","Crystal Palace","Premier League","2016/2017",2016,"Wayne","Hennessey",0,0,92,2610,46,31.1,600.4,0,4,497,63.2,7,0,1,3.1,"1",3.17241379310345
"250","Mamadou Sakho","Centre-Back","1990-02-13T00:00:00Z",26,"France","Crystal Palace","Premier League","2016/2017",2016,"Mamadou","Sakho",0,0,35,686,6,48.7,143.4,40,6,155,23.2,4,0,0,0.6,"2",4.59183673469388
"251","James Tomkins","Centre-Back","1989-03-29T00:00:00Z",27,"England","Crystal Palace","Premier League","2016/2017",2016,"James","Tomkins",3,0,75,1974,36,35.7,471,213,5,359,72.1,6,0,4,0.2,"2",3.41945288753799
"252","Scott Dann","Centre-Back","1987-02-14T00:00:00Z",29,"England","Crystal Palace","Premier League","2016/2017",2016,"Scott","Dann",3,1,61,1752,36,73.1,459,426,4,310,96,2,0,2,2.1,"2",3.13356164383562
"253","Damien Delaney","Centre-Back","1981-07-20T00:00:00Z",34,"Ireland","Crystal Palace","Premier League","2016/2017",2016,"Damien","Delaney",0,2,51,2014,39,79.6,496.6,67,3,344,64.1,3,0,8,0.5,"2",2.27904667328699
"254","Pape Souaré","Left-Back","1990-06-06T00:00:00Z",26,"Senegal","Crystal Palace","Premier League","2016/2017",2016,"Pape","Souaré",0,0,6,270,3,33.5,53.6,9,0,37,9.7,0,0,0,0.2,"2",2
"255","Patrick van Aanholt","Left-Back","1990-08-29T00:00:00Z",25,"Netherlands","Crystal Palace","Premier League","2016/2017",2016,"Patrick","van Aanholt",5,1,98,2498,53,534.2,616,383,9,534,153.5,5,0,3,3.6,"2",3.53082465972778
"256","Joel Ward","Right-Back","1989-10-29T00:00:00Z",26,"England","Crystal Palace","Premier League","2016/2017",2016,"Joel","Ward",0,1,86,3417,63,263.7,608.2,129,7,568,100.4,7,0,7,0.9,"2",2.26514486391572
"257","Martin Kelly","Right-Back","1990-04-27T00:00:00Z",26,"England","Crystal Palace","Premier League","2016/2017",2016,"Martin","Kelly",0,2,46,2124,44,125.1,421.8,61,0,323,61,2,0,4,0.6,"2",1.94915254237288
"258","Ben Wynter","Right-Back","1997-12-11T00:00:00Z",18,"England","Crystal Palace","Premier League","2016/2017",2016,"Ben","Wynter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,"2",NA
"259","Aaron Wan-Bissaka","Right-Back","1997-11-26T00:00:00Z",18,"England","Crystal Palace","Premier League","2016/2017",2016,"Aaron","Wan-Bissaka",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",NA
"260","Michael Phillips","Midfielder","1997-09-22T00:00:00Z",18,"England","Crystal Palace","Premier League","2016/2017",2016,"Michael","Phillips",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3",NA
"261","Luke Dreher","Midfielder","1998-11-27T00:00:00Z",17,"England","Crystal Palace","Premier League","2016/2017",2016,"Luke","Dreher",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3",NA
"262","Luka Milivojevic","Defensive Midfield","1991-04-07T00:00:00Z",25,"Serbia","Crystal Palace","Premier League","2016/2017",2016,"Luka","Milivojevic",2,0,42,1224,16,96.5,192.4,130,3,169,41.8,5,0,4,0.1,"3",3.08823529411765
"263","Mile Jedinak","Defensive Midfield","1984-08-03T00:00:00Z",31,"Australia","Crystal Palace","Premier League","2016/2017",2016,"Mile","Jedinak",0,0,2,90,1,31.2,11.8,0,0,8,4.3,0,0,0,0.1,"3",2
"264","Mathieu Flamini","Defensive Midfield","1984-03-07T00:00:00Z",32,"France","Crystal Palace","Premier League","2016/2017",2016,"Mathieu","Flamini",0,0,12,274,6,13.7,33,13,0,47,5.9,0,0,0,0.1,"3",3.94160583941606
"265","Hiram Boateng","Defensive Midfield","1996-01-08T00:00:00Z",20,"England","Crystal Palace","Premier League","2016/2017",2016,"Hiram","Boateng",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3",NA
"266","Yohan Cabaye","Central Midfield","1986-01-14T00:00:00Z",30,"France","Crystal Palace","Premier League","2016/2017",2016,"Yohan","Cabaye",4,4,91,2125,41,568,427.4,478,6,411,146.8,7,0,7,1.1,"3",3.85411764705882
"267","James McArthur","Central Midfield","1987-10-07T00:00:00Z",28,"Scotland","Crystal Palace","Premier League","2016/2017",2016,"James","McArthur",5,3,93,1999,39,284.5,400.4,300,8,363,97.7,3,0,5,1,"3",4.18709354677339
"268","Jordon Mutch","Central Midfield","1991-12-02T00:00:00Z",24,"England","Crystal Palace","Premier League","2016/2017",2016,"Jordon","Mutch",0,0,4,53,1,14.1,15.6,0,0,17,3.1,0,0,0,0.3,"3",6.79245283018868
"269","Joe Ledley","Central Midfield","1987-01-23T00:00:00Z",29,"Wales","Crystal Palace","Premier League","2016/2017",2016,"Joe","Ledley",1,1,40,1160,26,109.9,158.2,48,1,201,31.5,2,0,1,0.4,"3",3.10344827586207
"270","Noor Husin","Central Midfield","1997-03-03T00:00:00Z",19,"Afghanistan","Crystal Palace","Premier League","2016/2017",2016,"Noor","Husin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3",NA
"271","Jeffrey Schlupp","Left Midfield","1992-12-23T00:00:00Z",23,"Ghana","Crystal Palace","Premier League","2016/2017",2016,"Jeffrey","Schlupp",0,2,47,1139,17,100.4,214.2,65,4,237,38.1,3,0,0,0.3,"3",3.71378402107112
"272","Jason Puncheon","Attacking Midfield","1986-06-26T00:00:00Z",30,"England","Crystal Palace","Premier League","2016/2017",2016,"Jason","Puncheon",0,6,92,3093,53,941.8,500.2,448,6,500,188.7,7,0,9,0.7,"4",2.67701260911736
"273","Chung-yong Lee","Attacking Midfield","1988-07-02T00:00:00Z",27,"Korea, South","Crystal Palace","Premier League","2016/2017",2016,"Chung-yong","Lee",0,1,24,471,13,125,71.2,44,0,103,23.9,2,0,0,0.3,"4",4.5859872611465
"274","Jonathan Williams","Attacking Midfield","1993-10-09T00:00:00Z",22,"Wales","Crystal Palace","Premier League","2016/2017",2016,"Jonathan","Williams",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4",NA
"275","Yannick Bolasie","Left Winger","1989-05-24T00:00:00Z",27,"DR Congo","Crystal Palace","Premier League","2016/2017",2016,"Yannick","Bolasie",1,4,45,1048,14,326.7,238,252,3,172,81.8,3,0,3,1.7,"4",3.86450381679389
"276","Bakary Sako","Left Winger","1988-04-26T00:00:00Z",28,"Mali","Crystal Palace","Premier League","2016/2017",2016,"Bakary","Sako",0,0,7,142,5,31.6,21.8,32,0,29,8.7,0,0,0,0,"4",4.43661971830986
"277","Sullay Kaikai","Left Winger","1995-08-26T00:00:00Z",20,"England","Crystal Palace","Premier League","2016/2017",2016,"Sullay","Kaikai",0,0,1,24,0,1.8,0,4,0,1,0.5,0,0,0,0,"4",3.75
"278","Keshi Anderson","Left Winger","1995-04-06T00:00:00Z",21,"England","Crystal Palace","Premier League","2016/2017",2016,"Keshi","Anderson",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4",NA
"279","Andros Townsend","Right Winger","1991-07-16T00:00:00Z",24,"England","Crystal Palace","Premier League","2016/2017",2016,"Andros","Townsend",3,7,116,2520,38,852.4,552.4,511,16,492,191.3,7,0,4,2.2,"4",4.14285714285714
"280","Wilfried Zaha","Right Winger","1992-11-10T00:00:00Z",23,"Cote d'Ivoire","Crystal Palace","Premier League","2016/2017",2016,"Wilfried","Zaha",7,11,149,3019,56,606.4,740.4,865,13,481,221.2,7,0,8,11.9,"4",4.44186816826764
"281","Christian Benteke","Centre-Forward","1990-12-03T00:00:00Z",25,"Belgium","Crystal Palace","Premier League","2016/2017",2016,"Christian","Benteke",15,2,136,3131,58,484.4,640.2,1762,13,382,286.1,7,0,10,9.5,"5",3.90929415522197
"282","Connor Wickham","Centre-Forward","1993-03-31T00:00:00Z",23,"England","Crystal Palace","Premier League","2016/2017",2016,"Connor","Wickham",2,0,18,412,6,36.2,87.6,132,0,59,25,0,0,1,0.3,"5",3.93203883495146
"283","Fraizer Campbell","Centre-Forward","1987-09-13T00:00:00Z",28,"England","Crystal Palace","Premier League","2016/2017",2016,"Fraizer","Campbell",1,0,16,165,4,25.9,42.4,84,0,56,15.2,0,0,0,1,"5",8.72727272727273
"284","Jonathan Benteke","Centre-Forward","1995-04-28T00:00:00Z",21,"Belgium","Crystal Palace","Premier League","2016/2017",2016,"Jonathan","Benteke",0,0,1,7,0,0.3,5,9,0,3,1.4,0,0,0,0.4,"5",12.8571428571429
"285","Fraser Forster","Goalkeeper","1988-03-17T00:00:00Z",28,"England","Southampton FC","Premier League","2016/2017",2016,"Fraser","Forster",0,0,134,3420,48,10,553.6,0,4,625,56.4,14,0,3,5,"1",3.52631578947368
"286","Alex McCarthy","Goalkeeper","1989-12-03T00:00:00Z",26,"England","Southampton FC","Premier League","2016/2017",2016,"Alex","McCarthy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,"1",NA
"287","Mouez Hassen","Goalkeeper","1995-03-05T00:00:00Z",21,"Tunisia","Southampton FC","Premier League","2016/2017",2016,"Mouez","Hassen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",NA
"288","Paulo Gazzaniga","Goalkeeper","1992-01-02T00:00:00Z",24,"Argentina","Southampton FC","Premier League","2016/2017",2016,"Paulo","Gazzaniga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",NA
"289","Stuart Taylor","Goalkeeper","1980-11-28T00:00:00Z",35,"England","Southampton FC","Premier League","2016/2017",2016,"Stuart","Taylor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,"1",NA
"290","Harry Lewis","Goalkeeper","1997-12-20T00:00:00Z",18,"England","Southampton FC","Premier League","2016/2017",2016,"Harry","Lewis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",NA
"291","Virgil van Dijk","Centre-Back","1991-07-08T00:00:00Z",24,"Netherlands","Southampton FC","Premier League","2016/2017",2016,"Virgil","van Dijk",1,0,75,1852,23,81.1,546.2,232,14,435,86,7,1,3,5.3,"2",3.64470842332613
"292","Martín Cáceres","Centre-Back","1987-04-07T00:00:00Z",29,"Uruguay","Southampton FC","Premier League","2016/2017",2016,"Martín","Cáceres",0,0,2,90,1,1.1,19.6,6,0,16,2.7,0,0,0,0,"2",2
"293","Florin Gardos","Centre-Back","1988-10-29T00:00:00Z",27,"Romania","Southampton FC","Premier League","2016/2017",2016,"Florin","Gardos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,"2",NA
"294","Maya Yoshida","Centre-Back","1988-08-24T00:00:00Z",27,"Japan","Southampton FC","Premier League","2016/2017",2016,"Maya","Yoshida",1,1,78,2070,32,62.8,532.6,277,8,469,87.5,7,0,2,5.9,"2",3.39130434782609
"295","Jack Stephens","Centre-Back","1994-01-27T00:00:00Z",22,"England","Southampton FC","Premier League","2016/2017",2016,"Jack","Stephens",0,1,60,1471,24,58.2,350.4,58,10,341,46.6,6,0,1,5.2,"2",3.67097212780421
"296","Ryan Bertrand","Left-Back","1989-08-05T00:00:00Z",26,"England","Southampton FC","Premier League","2016/2017",2016,"Ryan","Bertrand",2,5,123,2507,36,442.4,517.4,255,9,575,121.5,12,0,3,3.9,"2",4.41563621858795
"297","Matt Targett","Left-Back","1995-09-18T00:00:00Z",20,"England","Southampton FC","Premier League","2016/2017",2016,"Matt","Targett",0,0,12,373,4,87.9,64.6,12,0,80,16.5,1,0,0,0.2,"2",2.89544235924933
"298","Sam McQueen","Left-Back","1995-02-06T00:00:00Z",21,"England","Southampton FC","Premier League","2016/2017",2016,"Sam","McQueen",0,1,23,616,9,58.4,123.6,25,0,132,20.8,1,0,0,0.1,"2",3.36038961038961
"299","Cédric Soares","Right-Back","1991-08-31T00:00:00Z",24,"Portugal","Southampton FC","Premier League","2016/2017",2016,"Cédric","Soares",0,3,102,2515,36,648.9,591,155,11,584,139.6,11,0,7,2.7,"2",3.65009940357853
"300","Jérémy Pied","Right-Back","1989-02-23T00:00:00Z",27,"France","Southampton FC","Premier League","2016/2017",2016,"Jérémy","Pied",0,0,5,129,1,20.7,20.6,21,0,24,6.3,0,0,0,0,"2",3.48837209302326
"301","Cuco Martina","Right-Back","1989-09-25T00:00:00Z",26,"Curacao","Southampton FC","Premier League","2016/2017",2016,"Cuco","Martina",0,0,31,592,6,114.7,94.2,20,5,140,22.7,3,0,0,0.4,"2",4.71283783783784
"302","Jordy Clasie","Defensive Midfield","1991-06-27T00:00:00Z",25,"Netherlands","Southampton FC","Premier League","2016/2017",2016,"Jordy","Clasie",1,1,38,1022,15,129.1,122.4,94,3,157,33.3,2,0,3,0.1,"3",3.34637964774951
"303","James Ward-Prowse","Central Midfield","1994-11-01T00:00:00Z",21,"England","Southampton FC","Premier League","2016/2017",2016,"James","Ward-Prowse",4,4,92,1883,26,729.1,427.4,448,5,377,160.7,9,0,4,1.4,"3",4.39723844928306
"304","Steven Davis","Central Midfield","1985-01-01T00:00:00Z",31,"Northern Ireland","Southampton FC","Premier League","2016/2017",2016,"Steven","Davis",0,3,77,2643,37,573,437.6,379,0,450,138.9,10,0,3,0.5,"3",2.62202043132804
"305","Harrison Reed","Central Midfield","1995-01-27T00:00:00Z",21,"England","Southampton FC","Premier League","2016/2017",2016,"Harrison","Reed",0,0,3,64,1,1.4,11,0,0,16,1.3,0,0,0,0.1,"3",4.21875
"306","Sofiane Boufal","Attacking Midfield","1993-09-17T00:00:00Z",22,"Morocco","Southampton FC","Premier League","2016/2017",2016,"Sofiane","Boufal",1,1,40,1104,22,328.6,197,265,1,160,78.6,3,0,5,0.1,"4",3.26086956521739
"307","Jake Hesketh","Attacking Midfield","1996-03-27T00:00:00Z",20,"England","Southampton FC","Premier League","2016/2017",2016,"Jake","Hesketh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4",NA
"308","Dusan Tadic","Left Winger","1988-11-20T00:00:00Z",27,"Serbia","Southampton FC","Premier League","2016/2017",2016,"Dusan","Tadic",3,7,108,2411,29,1144.1,455.4,819,4,376,242,13,0,4,2,"4",4.03152218996267
"309","Nathan Redmond","Left Winger","1994-03-06T00:00:00Z",22,"England","Southampton FC","Premier League","2016/2017",2016,"Nathan","Redmond",7,1,126,2898,40,880.3,545.6,1021,13,483,243.8,12,1,2,7.4,"4",3.91304347826087
"310","Lloyd Isgrove","Left Winger","1993-01-12T00:00:00Z",23,"Wales","Southampton FC","Premier League","2016/2017",2016,"Lloyd","Isgrove",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4",NA
"311","Manolo Gabbiadini","Centre-Forward","1991-11-26T00:00:00Z",24,"Italy","Southampton FC","Premier League","2016/2017",2016,"Manolo","Gabbiadini",4,1,38,724,12,85,165.6,432,4,124,67.8,3,0,1,6.5,"5",4.72375690607735
"312","Charlie Austin","Centre-Forward","1989-07-05T00:00:00Z",26,"England","Southampton FC","Premier League","2016/2017",2016,"Charlie","Austin",6,1,62,934,8,134.3,274.2,573,10,218,97.9,6,0,1,1.8,"5",5.97430406852248
"313","Shane Long","Centre-Forward","1987-01-22T00:00:00Z",29,"Ireland","Southampton FC","Premier League","2016/2017",2016,"Shane","Long",3,2,57,1262,23,231.6,201.6,584,2,159,100.1,2,0,2,3,"5",4.06497622820919
"314","Olufela Olomola","Centre-Forward","1997-09-05T00:00:00Z",18,"England","Southampton FC","Premier League","2016/2017",2016,"Olufela","Olomola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5",NA
"315","Jack Butland","Goalkeeper","1993-03-10T00:00:00Z",23,"England","Stoke City","Premier League","2016/2017",2016,"Jack","Butland",0,0,20,450,8,0,121.8,0,2,104,12.2,2,0,0,0.9,"1",4
"316","Jakob Haugaard","Goalkeeper","1992-05-01T00:00:00Z",24,"Denmark","Stoke City","Premier League","2016/2017",2016,"Jakob","Haugaard",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,"1",NA
"317","Shay Given","Goalkeeper","1976-04-20T00:00:00Z",40,"Ireland","Stoke City","Premier League","2016/2017",2016,"Shay","Given",0,0,13,450,14,0,144.8,0,3,92,14.4,0,0,1,0.4,"1",2.6
"318","Lee Grant","Goalkeeper","1983-01-27T00:00:00Z",33,"England","Stoke City","Premier League","2016/2017",2016,"Lee","Grant",0,0,106,2520,34,0,644,0,9,546,64.7,9,0,1,6.5,"1",3.78571428571429
"319","Bruno Martins Indi","Centre-Back","1992-02-08T00:00:00Z",24,"Netherlands","Stoke City","Premier League","2016/2017",2016,"Bruno","Martins Indi",1,0,106,3146,50,34.4,682.6,266,9,634,98.6,11,0,4,0.7,"2",3.03242212333121
"320","Ryan Shawcross","Centre-Back","1987-10-04T00:00:00Z",28,"England","Stoke City","Premier League","2016/2017",2016,"Ryan","Shawcross",1,2,94,3150,53,65.3,732.2,395,6,549,119.3,9,0,6,1.7,"2",2.68571428571429
"321","Philipp Wollscheid","Centre-Back","1989-03-06T00:00:00Z",27,"Germany","Stoke City","Premier League","2016/2017",2016,"Philipp","Wollscheid",0,0,1,180,5,3.4,36.4,10,0,23,5,0,0,1,0.2,"2",0.5
"322","Marc Muniesa","Centre-Back","1992-03-27T00:00:00Z",24,"Spain","Stoke City","Premier League","2016/2017",2016,"Marc","Muniesa",1,0,34,650,7,59.7,172.4,50,3,153,28.2,3,0,2,0.8,"2",4.70769230769231
"323","Erik Pieters","Left-Back","1988-08-07T00:00:00Z",27,"Netherlands","Stoke City","Premier League","2016/2017",2016,"Erik","Pieters",0,2,103,3151,50,353.8,583.2,130,9,614,107.1,10,0,5,6.7,"2",2.94192319898445
"324","Joel Taylor","Left-Back","1996-03-24T00:00:00Z",20,"England","Stoke City","Premier League","2016/2017",2016,"Joel","Taylor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",NA
"325","Glen Johnson","Right-Back","1984-08-23T00:00:00Z",31,"England","Stoke City","Premier League","2016/2017",2016,"Glen","Johnson",0,0,56,1957,34,176.1,350,101,3,376,62.8,6,0,1,0.1,"2",2.57537046499744
"326","Phil Bardsley","Right-Back","1985-06-28T00:00:00Z",31,"Scotland","Stoke City","Premier League","2016/2017",2016,"Phil","Bardsley",0,0,27,1168,17,146.7,155,51,0,174,35.4,3,1,4,0.1,"2",2.08047945205479
"327","Giannelli Imbula","Defensive Midfield","1992-09-12T00:00:00Z",23,"DR Congo","Stoke City","Premier League","2016/2017",2016,"Giannelli","Imbula",0,1,24,796,20,111.3,65,44,1,126,22,2,0,1,0.1,"3",2.71356783919598
"328","Glenn Whelan","Defensive Midfield","1984-01-13T00:00:00Z",32,"Ireland","Stoke City","Premier League","2016/2017",2016,"Glenn","Whelan",0,1,62,2276,40,336.6,392.6,41,3,380,77,7,0,5,0.7,"3",2.45166959578207
"329","Geoff Cameron","Defensive Midfield","1985-07-11T00:00:00Z",30,"United States","Stoke City","Premier League","2016/2017",2016,"Geoff","Cameron",0,1,58,1629,25,165,354.4,174,5,340,69.6,6,0,1,0.4,"3",3.20441988950276
"330","Joe Allen","Central Midfield","1990-03-14T00:00:00Z",26,"Wales","Stoke City","Premier League","2016/2017",2016,"Joe","Allen",6,3,118,2930,49,539.8,576.8,675,10,525,179.4,10,0,9,6.4,"3",3.62457337883959
"331","Charlie Adam","Central Midfield","1985-12-10T00:00:00Z",30,"Scotland","Stoke City","Premier League","2016/2017",2016,"Charlie","Adam",1,4,59,1491,23,477.6,263.4,328,5,218,106.7,6,0,7,0.3,"3",3.56136820925553
"332","Ibrahim Afellay","Left Midfield","1986-04-02T00:00:00Z",30,"Netherlands","Stoke City","Premier League","2016/2017",2016,"Ibrahim","Afellay",0,0,15,384,5,55.2,32,63,0,63,14.8,0,0,0,0,"3",3.515625
"333","Stephen Ireland","Attacking Midfield","1986-08-22T00:00:00Z",29,"Ireland","Stoke City","Premier League","2016/2017",2016,"Stephen","Ireland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4",NA
"334","Ramadan Sobhi","Left Winger","1997-01-23T00:00:00Z",19,"Egypt","Stoke City","Premier League","2016/2017",2016,"Ramadan","Sobhi",0,2,36,855,11,137.3,104.6,149,1,151,38.5,5,0,2,0.5,"4",3.78947368421053
"335","Xherdan Shaqiri","Right Winger","1991-10-10T00:00:00Z",24,"Switzerland","Stoke City","Premier League","2016/2017",2016,"Xherdan","Shaqiri",4,2,80,1699,21,672.9,293.6,453,8,275,141.6,8,0,2,3,"4",4.23778693349029
"336","Jonathan Walters","Right Winger","1983-09-20T00:00:00Z",32,"Ireland","Stoke City","Premier League","2016/2017",2016,"Jonathan","Walters",4,3,72,1304,22,198.7,294,487,3,195,98,6,0,1,0.1,"4",4.96932515337423
"337","Thibaud Verlinden","Right Winger","1999-07-09T00:00:00Z",16,"Belgium","Stoke City","Premier League","2016/2017",2016,"Thibaud","Verlinden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4",NA
"338","Bojan Krkic","Second Striker","1990-08-28T00:00:00Z",25,"Spain","Stoke City","Premier League","2016/2017",2016,"Bojan","Krkic",3,0,30,475,12,84.5,125.4,114,4,93,32.1,0,0,1,0.7,"5",5.68421052631579
"339","Wilfried Bony","Centre-Forward","1988-12-10T00:00:00Z",27,"Cote d'Ivoire","Stoke City","Premier League","2016/2017",2016,"Wilfried","Bony",2,0,29,684,12,116.9,103,271,3,92,49,3,0,1,0.6,"5",3.81578947368421
"340","Saido Berahino","Centre-Forward","1993-08-04T00:00:00Z",22,"Burundi","Stoke City","Premier League","2016/2017",2016,"Saido","Berahino",0,0,26,963,13,73.5,38.4,299,0,50,40,4,0,1,0.5,"5",2.42990654205607
"341","Marko Arnautovic","Centre-Forward","1989-04-19T00:00:00Z",27,"Austria","Stoke City","Premier League","2016/2017",2016,"Marko","Arnautovic",6,7,117,2713,43,768.7,530.4,861,8,401,216.2,9,1,9,1,"5",3.88131220051603
"342","Jose Luis Mato Sanmartín","Centre-Forward","1990-03-27T00:00:00Z",26,"Spain","Stoke City","Premier League","2016/2017",2016,"Jose Luis","Mato Sanmartín",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,"5",NA
"343","Peter Crouch","Centre-Forward","1981-01-30T00:00:00Z",35,"England","Stoke City","Premier League","2016/2017",2016,"Peter","Crouch",7,3,79,1343,23,260.9,346.6,664,7,262,126.8,4,0,3,3.4,"5",5.29411764705882
"344","Julien Ngoy","Centre-Forward","1997-11-02T00:00:00Z",18,"Belgium","Stoke City","Premier League","2016/2017",2016,"Julien","Ngoy",0,0,5,49,1,12.1,7.4,46,0,16,6.5,0,0,0,0.1,"5",9.18367346938776
"345","Costel Pantilimon","Goalkeeper","1987-02-01T00:00:00Z",29,"Romania","Watford FC","Premier League","2016/2017",2016,"Costel","Pantilimon",0,0,2,83,4,0,41.6,0,0,20,4.1,0,0,0,0.4,"1",2.16867469879518
