Club Name,Date Of Birth,Kickoff Time,League Name,Nationality,Player Name,Position,Position Index,Season,Was Home,Year,Age,Assists,Bonus,Bps,Clean Sheets,Creativity,Element,F1,Fixture,Goals Conceded,Goals Scored,GW,Ict Index,Influence,Minutes,Opponent Team,Own Goals,Penalties Missed,Penalties Saved,Red Cards,Round,Saves,Selected,Team A Score,Team H Score,Threat,Total Points,Transfers Balance,Transfers In,Transfers Out,Value,Yellow Cards
Tottenham Hotspur,2/14/1992,7/26/2020 3:00:00 PM,Premier League,Denmark,Christian Eriksen,Attacking Midfield,4,2019/2020,False,2019,27,0,0,0,0,0,343,17650,374,0,0,47,0,0,0,7,0,0,0,0,47,0,176230,1,1,0,0,-261,102,363,86,0
Manchester United,8/31/2000,3/1/2020 2:00:00 PM,Premier League,England,Angel Gomes,Attacking Midfield,4,2019/2020,False,2019,18,0,0,0,0,0,245,12479,274,0,0,28,0,0,0,8,0,0,0,0,28,0,6713,1,1,0,0,8,96,88,48,0
Manchester United,1/1/1996,3/1/2020 2:00:00 PM,Premier League,Brazil,Andreas Pereira,Attacking Midfield,4,2019/2020,False,2019,23,0,0,0,0,0,246,12586,274,0,0,28,0,0,0,8,0,0,0,0,28,0,31646,1,1,0,0,-1383,375,1758,49,0
Manchester United,12/15/1992,3/1/2020 2:00:00 PM,Premier League,England,Jesse Lingard,Attacking Midfield,4,2019/2020,False,2019,26,0,0,0,0,0,241,12524,274,0,0,28,0,0,0,8,0,0,0,0,28,0,55083,1,1,0,0,-105,359,464,63,0
Manchester United,4/28/1988,3/1/2020 2:00:00 PM,Premier League,Spain,Juan Mata,Attacking Midfield,4,2019/2020,False,2019,31,0,0,4,0,10.9,242,12420,274,0,0,28,1.4,2.6,18,8,0,0,0,0,28,0,27669,1,1,0,1,-627,409,1036,62,0
Norwich City,2/9/1991,12/14/2019 3:00:00 PM,Premier League,Germany,Marco Stiepermann,Attacking Midfield,4,2019/2020,False,2019,28,0,0,3,0,0.7,285,7253,165,0,0,17,1.5,5.4,4,9,0,0,0,0,17,0,5241,1,1,9,1,-138,22,160,52,0
Arsenal FC,1/21/1989,9/30/2019 7:00:00 PM,Premier League,Armenia,Henrikh Mkhitaryan,Attacking Midfield,4,2019/2020,False,2019,30,0,0,0,0,0,16,2725,67,0,0,7,0,0,0,12,0,0,0,0,7,0,65367,1,1,0,0,-4807,43,4850,68,0
Arsenal FC,10/15/1988,9/30/2019 7:00:00 PM,Premier League,Germany,Mesut Özil,Attacking Midfield,4,2019/2020,False,2019,30,0,0,0,0,0,15,2858,67,0,0,7,0,0,0,12,0,0,0,0,7,0,45353,1,1,0,0,-3491,1891,5382,73,0
Everton FC,9/8/1989,12/15/2019 2:00:00 PM,Premier League,Iceland,Gylfi Sigurdsson,Attacking Midfield,4,2019/2020,False,2019,29,0,0,0,0,0,151,7430,167,0,0,17,0,0,0,12,0,0,0,0,17,0,195754,1,1,0,0,-5436,928,6364,74,0
West Ham United,2/15/1993,7/22/2020 5:00:00 PM,Premier League,Argentina,Manuel Lanzini,Attacking Midfield,4,2019/2020,False,2019,26,0,0,0,0,0,391,17356,365,0,0,46,0,0,0,12,0,0,0,0,46,0,51334,1,1,0,0,-104,90,194,61,0
Crystal Palace,12/10/2001,1/1/2020 5:30:00 PM,Premier League,England,Brandon Pierrick,Attacking Midfield,4,2019/2020,False,2019,17,0,0,5,0,21,580,8922,207,0,0,21,2.8,5.4,7,14,0,0,0,0,21,0,115,1,1,2,1,11,31,20,45,0
Brighton & Hove Albion,12/24/1998,2/22/2020 3:00:00 PM,Premier League,Argentina,Alexis Mac Allister,Attacking Midfield,4,2019/2020,False,2019,20,0,0,0,0,0,627,11836,268,0,0,27,0,0,0,15,0,0,0,0,27,0,419,1,1,0,0,401,410,9,55,0
Brighton & Hove Albion,6/15/1991,2/22/2020 3:00:00 PM,Premier League,Germany,Pascal Groß,Attacking Midfield,4,2019/2020,False,2019,28,0,0,0,0,0,49,12201,268,0,0,27,0,0,0,15,0,0,0,0,27,0,39328,1,1,0,0,-2192,969,3161,63,0
Watford FC,1/7/1991,12/26/2019 3:00:00 PM,Premier League,Argentina,Roberto Pereyra,Attacking Midfield,4,2019/2020,False,2019,28,0,0,2,0,11.8,369,8381,188,0,0,19,2.4,6.2,45,15,0,0,0,0,19,0,46743,1,1,6,1,88,680,592,56,0
Brighton & Hove Albion,12/24/1998,7/16/2020 7:15:00 PM,Premier League,Argentina,Alexis Mac Allister,Attacking Midfield,4,2019/2020,False,2019,20,0,0,5,0,0.3,627,16509,359,0,0,45,0.1,1,14,16,0,0,0,0,45,0,993,1,1,0,1,-53,40,93,55,0
Brighton & Hove Albion,6/15/1991,7/16/2020 7:15:00 PM,Premier League,Germany,Pascal Groß,Attacking Midfield,4,2019/2020,False,2019,28,0,0,0,0,0.3,49,16901,359,0,0,45,0,0,14,16,0,0,0,0,45,0,33913,1,1,0,1,-65,204,269,62,0
Crystal Palace,12/10/2001,12/28/2019 3:00:00 PM,Premier League,England,Brandon Pierrick,Attacking Midfield,4,2019/2020,False,2019,17,0,0,0,0,0,580,8452,198,0,0,20,0,0,0,16,0,0,0,0,20,0,81,1,1,0,0,14,27,13,45,0
Manchester United,8/31/2000,8/31/2019 11:30:00 AM,Premier League,England,Angel Gomes,Attacking Midfield,4,2019/2020,False,2019,18,0,0,0,0,0,245,1300,39,0,0,4,0,0,0,16,0,0,0,0,4,0,7333,1,1,0,0,-455,684,1139,49,0
Manchester United,12/15/1992,8/31/2019 11:30:00 AM,Premier League,England,Jesse Lingard,Attacking Midfield,4,2019/2020,False,2019,26,0,0,3,0,12.2,241,1469,39,0,0,4,2.6,1.2,22,16,0,0,0,0,4,0,93843,1,1,13,1,-12761,6907,19668,65,0
Manchester United,8/31/2000,6/19/2020 7:15:00 PM,Premier League,England,Angel Gomes,Attacking Midfield,4,2019/2020,False,2019,18,0,0,0,0,0,245,13309,298,0,0,39,0,0,0,17,0,0,0,0,39,0,6921,1,1,0,0,94,299,205,47,0
Manchester United,1/1/1996,6/19/2020 7:15:00 PM,Premier League,Brazil,Andreas Pereira,Attacking Midfield,4,2019/2020,False,2019,23,0,0,0,0,0,246,13298,298,0,0,39,0,0,0,17,0,0,0,0,39,0,29955,1,1,0,0,-580,1386,1966,48,0
Manchester United,12/15/1992,6/19/2020 7:15:00 PM,Premier League,England,Jesse Lingard,Attacking Midfield,4,2019/2020,False,2019,26,0,0,0,0,0,241,13548,298,0,0,39,0,0,0,17,0,0,0,0,39,0,55583,1,1,0,0,276,1094,818,63,0
Manchester United,4/28/1988,6/19/2020 7:15:00 PM,Premier League,Spain,Juan Mata,Attacking Midfield,4,2019/2020,False,2019,31,0,0,0,0,0,242,13580,298,0,0,39,0,0,0,17,0,0,0,0,39,0,27417,1,1,0,0,-149,555,704,61,0
Sheffield United,2/2/1993,11/9/2019 3:00:00 PM,Premier League,Jamaica,Ravel Morrison,Attacking Midfield,4,2019/2020,False,2019,26,0,0,0,0,0,456,5138,119,0,0,12,0,0,0,17,0,0,0,0,12,0,6329,1,1,0,0,-156,145,301,47,0
Sheffield United,3/22/1992,11/9/2019 3:00:00 PM,Premier League,England,Luke Freeman,Attacking Midfield,4,2019/2020,False,2019,27,0,0,2,0,0,441,5051,119,0,0,12,0.1,1,1,17,0,0,0,0,12,0,5025,1,1,0,1,-144,72,216,52,0
Everton FC,9/8/1989,1/18/2020 3:00:00 PM,Premier League,Iceland,Gylfi Sigurdsson,Attacking Midfield,4,2019/2020,False,2019,29,0,0,0,0,0,151,10257,230,0,0,23,0,0,0,19,0,0,0,0,23,0,185900,1,1,0,0,-6275,1825,8100,73,0
Sheffield United,2/2/1993,10/26/2019 2:00:00 PM,Premier League,Jamaica,Ravel Morrison,Attacking Midfield,4,2019/2020,False,2019,26,0,0,0,0,0,456,4244,100,0,0,10,0,0,0,19,0,0,0,0,10,0,6580,1,1,0,0,-159,80,239,47,0
Sheffield United,3/22/1992,10/26/2019 2:00:00 PM,Premier League,England,Luke Freeman,Attacking Midfield,4,2019/2020,False,2019,27,0,0,0,0,0,441,4157,100,0,0,10,0,0,0,19,0,0,0,0,10,0,5332,1,1,0,0,-144,59,203,52,0
Sheffield United,2/2/1993,12/1/2019 2:00:00 PM,Premier League,Jamaica,Ravel Morrison,Attacking Midfield,4,2019/2020,False,2019,26,0,0,0,0,0,456,6040,140,0,0,14,0,0,0,20,0,0,0,0,14,0,6304,1,1,0,0,-45,203,248,47,0
Sheffield United,3/22/1992,12/1/2019 2:00:00 PM,Premier League,England,Luke Freeman,Attacking Midfield,4,2019/2020,False,2019,27,0,0,2,0,0,441,5952,140,0,0,14,0.1,1,1,20,0,0,0,0,14,0,4972,1,1,0,1,-72,99,171,52,0
Southampton FC,3/30/1992,10/19/2019 2:00:00 PM,Premier League,Scotland,Stuart Armstrong,Attacking Midfield,4,2019/2020,False,2019,27,0,0,0,0,0,323,3842,90,0,0,9,0,0,0,20,0,0,0,0,9,0,6773,1,1,0,0,-246,59,305,53,0
Sheffield United,2/2/1995,1/18/2020 3:00:00 PM,Premier League,Ireland,Callum Robinson,Left Winger,4,2019/2020,False,2019,24,0,0,5,0,14.7,453,10191,221,0,0,23,2.2,5.4,23,1,0,0,0,0,23,0,19082,1,1,2,1,-449,170,619,50,0
Aston Villa,2/16/2001,1/18/2020 3:00:00 PM,Premier League,United States,Indiana Vassilev,Left Winger,4,2019/2020,False,2019,18,0,0,0,0,0.8,600,10054,222,0,0,23,0.2,1.2,23,4,0,0,0,0,23,0,74,1,1,0,1,54,73,19,45,0
Aston Villa,7/26/1998,1/18/2020 3:00:00 PM,Premier League,England,Andre Green,Left Winger,4,2019/2020,False,2019,20,0,0,0,0,0,32,10019,222,0,0,23,0,0,0,4,0,0,0,0,23,0,774,1,1,0,0,-5,12,17,49,0
Sheffield United,2/2/1995,7/5/2020 11:00:00 AM,Premier League,Ireland,Callum Robinson,Left Winger,4,2019/2020,False,2019,24,0,0,0,0,0,453,14987,321,0,0,42,0,0,0,5,0,0,0,0,42,0,15468,1,1,0,0,-73,13,86,49,0
Tottenham Hotspur,10/8/1997,7/26/2020 3:00:00 PM,Premier League,Netherlands,Steven Bergwijn,Left Winger,4,2019/2020,False,2019,21,0,0,3,0,1.6,615,18041,374,0,0,47,0.2,0.8,30,7,0,0,0,0,47,0,63023,1,1,0,1,-5222,1075,6297,69,0
Aston Villa,2/16/2001,7/16/2020 5:00:00 PM,Premier League,United States,Indiana Vassilev,Left Winger,4,2019/2020,False,2019,18,0,0,0,0,0,600,16693,355,0,0,45,0,0,0,8,0,0,0,0,45,0,966,1,1,0,0,-5,56,61,45,0
Aston Villa,7/26/1998,7/16/2020 5:00:00 PM,Premier League,England,Andre Green,Left Winger,4,2019/2020,False,2019,20,0,0,0,0,0,32,16522,355,0,0,45,0,0,0,8,0,0,0,0,45,0,762,1,1,0,0,-5,4,9,48,0
Manchester United,10/31/1997,3/1/2020 2:00:00 PM,Premier League,England,Marcus Rashford,Left Winger,4,2019/2020,False,2019,21,0,0,0,0,0,233,12503,274,0,0,28,0,0,0,8,0,0,0,0,28,0,724100,1,1,0,0,-20373,301,20674,89,0
Manchester United,11/10/1997,3/1/2020 2:00:00 PM,Premier League,Wales,Daniel James,Left Winger,4,2019/2020,False,2019,21,0,0,0,0,0,243,12589,274,0,0,28,0,0,0,8,0,0,0,0,28,0,460555,1,1,0,0,-9608,8699,18307,59,0
Southampton FC,12/7/2000,7/9/2020 5:00:00 PM,Premier League,Ireland,Will Ferry,Left Winger,4,2019/2020,False,2019,18,0,0,0,0,0,654,15950,336,0,0,43,0,0,0,8,0,0,0,0,43,0,11,1,1,0,0,6,8,2,45,0
Southampton FC,6/15/1998,7/9/2020 5:00:00 PM,Premier League,Mali,Moussa Djenepo,Left Winger,4,2019/2020,False,2019,21,0,0,0,0,0,438,15806,336,0,0,43,0,0,0,8,0,0,0,0,43,0,5014,1,1,0,0,-31,13,44,52,0
Southampton FC,8/4/1994,7/9/2020 5:00:00 PM,Premier League,Norway,Mohamed Elyounoussi,Left Winger,4,2019/2020,False,2019,24,0,0,0,0,0,322,15800,336,0,0,43,0,0,0,8,0,0,0,0,43,0,1771,1,1,0,0,-3,1,4,52,0
Southampton FC,9/17/1993,7/9/2020 5:00:00 PM,Premier League,Morocco,Sofiane Boufal,Left Winger,4,2019/2020,False,2019,25,0,0,0,0,0,508,15904,336,0,0,43,0,0,0,8,0,0,0,0,43,0,7271,1,1,0,0,-101,3,104,55,0
Norwich City,2/1/1993,12/14/2019 3:00:00 PM,Premier League,Cuba,Onel Hernández,Left Winger,4,2019/2020,False,2019,26,0,0,4,0,10.3,284,7324,165,0,0,17,1.5,3,5,9,0,0,0,0,17,0,5768,1,1,2,1,-352,211,563,53,0
Everton FC,2/24/2001,12/15/2019 2:00:00 PM,Premier League,England,Anthony Gordon,Left Winger,4,2019/2020,False,2019,18,0,0,0,0,0,561,7060,167,0,0,17,0,0,0,12,0,0,0,0,17,0,1539,1,1,0,0,-1,249,250,45,0
West Ham United,4/19/1998,7/22/2020 5:00:00 PM,Premier League,England,Grady Diangana,Left Winger,4,2019/2020,False,2019,21,0,0,0,0,0,398,17208,365,0,0,46,0,0,0,12,0,0,0,0,46,0,4959,1,1,0,0,4,97,93,43,0
West Ham United,6/19/1998,7/22/2020 5:00:00 PM,Premier League,England,Nathan Holland,Left Winger,4,2019/2020,False,2019,21,0,0,0,0,0,568,17411,365,0,0,46,0,0,0,12,0,0,0,0,46,0,617,1,1,0,0,-10,28,38,44,0
Aston Villa,2/16/2001,6/24/2020 5:00:00 PM,Premier League,United States,Indiana Vassilev,Left Winger,4,2019/2020,False,2019,18,0,0,0,0,0,600,14070,306,0,0,40,0,0,0,13,0,0,0,0,40,0,847,1,1,0,0,-24,82,106,45,0
Aston Villa,7/26/1998,6/24/2020 5:00:00 PM,Premier League,England,Andre Green,Left Winger,4,2019/2020,False,2019,20,0,0,0,0,0,32,13903,306,0,0,40,0,0,0,13,0,0,0,0,40,0,770,1,1,0,0,3,17,14,48,0
Watford FC,3/13/1994,8/31/2019 2:00:00 PM,Premier League,Spain,Gerard Deulofeu,Left Winger,4,2019/2020,False,2019,25,0,0,0,0,1,363,1415,38,0,0,4,0.3,0.2,8,13,0,0,0,0,4,0,194298,1,1,2,1,-64657,8161,72818,63,0
Brighton & Hove Albion,12/4/1994,2/22/2020 3:00:00 PM,Premier League,Belgium,Leandro Trossard,Left Winger,4,2019/2020,False,2019,24,0,0,2,0,0,421,12099,268,0,0,27,0,0,15,15,0,0,0,0,27,0,40384,1,1,0,1,-7803,876,8679,58,0
Sheffield United,2/2/1995,11/9/2019 3:00:00 PM,Premier League,Ireland,Callum Robinson,Left Winger,4,2019/2020,False,2019,24,0,0,2,0,0,453,4844,119,0,0,12,0,0,3,17,0,0,0,0,12,0,29553,1,1,0,1,-3163,441,3604,53,0
Aston Villa,2/16/2001,7/26/2020 3:00:00 PM,Premier League,United States,Indiana Vassilev,Left Winger,4,2019/2020,False,2019,18,0,0,0,0,0,600,17766,380,0,0,47,0,0,0,19,0,0,0,0,47,0,1109,1,1,0,0,44,125,81,45,0
Aston Villa,7/26/1998,7/26/2020 3:00:00 PM,Premier League,England,Andre Green,Left Winger,4,2019/2020,False,2019,20,0,0,0,0,0,32,17593,380,0,0,47,0,0,0,19,0,0,0,0,47,0,763,1,1,0,0,4,18,14,48,0
Everton FC,2/24/2001,1/18/2020 3:00:00 PM,Premier League,England,Anthony Gordon,Left Winger,4,2019/2020,False,2019,18,0,0,2,0,7.4,561,10268,230,0,0,23,2,0,45,19,0,0,0,0,23,0,2428,1,1,14,1,-28,165,193,45,0
Everton FC,5/3/1996,1/18/2020 3:00:00 PM,Premier League,Nigeria,Alex Iwobi,Left Winger,4,2019/2020,False,2019,23,0,0,0,0,0,17,9850,230,0,0,23,0,0,0,19,0,0,0,0,23,0,67668,1,1,0,0,-1978,20,1998,56,0
Newcastle United,3/12/1997,1/11/2020 3:00:00 PM,Premier League,France,Allan Saint-Maximin,Left Winger,4,2019/2020,False,2019,22,0,0,0,0,0,500,9350,220,0,0,22,0,0,0,20,0,0,0,0,22,0,17447,1,1,0,0,-1093,146,1239,54,0
Newcastle United,11/16/1995,1/11/2020 3:00:00 PM,Premier League,England,Rolando Aarons,Left Winger,4,2019/2020,False,2019,23,0,0,0,0,0,499,9799,220,0,0,22,0,0,0,20,0,0,0,0,22,0,2214,1,1,0,0,-10,9,19,48,0
Sheffield United,2/2/1995,12/1/2019 2:00:00 PM,Premier League,Ireland,Callum Robinson,Left Winger,4,2019/2020,False,2019,24,0,0,4,0,0.5,453,5742,140,0,0,14,0.2,1.4,4,20,0,0,0,0,14,0,26364,1,1,0,1,-1178,451,1629,52,0
Southampton FC,6/15/1998,10/19/2019 2:00:00 PM,Premier League,Mali,Moussa Djenepo,Left Winger,4,2019/2020,False,2019,21,0,0,0,0,0,438,3759,90,0,0,9,0,0,0,20,0,0,0,0,9,0,6713,1,1,0,0,-1272,117,1389,52,0
Southampton FC,8/4/1994,10/19/2019 2:00:00 PM,Premier League,Norway,Mohamed Elyounoussi,Left Winger,4,2019/2020,False,2019,24,0,0,0,0,0,322,3753,90,0,0,9,0,0,0,20,0,0,0,0,9,0,1998,1,1,0,0,-63,7,70,53,0
Southampton FC,9/17/1993,10/19/2019 2:00:00 PM,Premier League,Morocco,Sofiane Boufal,Left Winger,4,2019/2020,False,2019,25,0,0,5,0,0.7,508,3838,90,0,0,9,0.4,3.2,14,20,0,0,0,0,9,0,10625,1,1,0,1,-979,500,1479,55,0
Arsenal FC,5/29/1995,12/26/2019 3:00:00 PM,Premier League,Cote d'Ivoire,Nicolas Pépé,Right Winger,4,2019/2020,False,2019,24,0,0,4,0,1.3,488,8180,182,0,0,19,0.7,4,8,3,0,0,0,0,19,0,164238,1,1,2,1,-1355,4510,5865,91,0
Watford FC,2/25/1998,2/8/2020 5:30:00 PM,Premier League,Senegal,Ismaïla Sarr,Right Winger,4,2019/2020,False,2019,21,0,0,0,0,0,525,11576,253,0,0,26,0,0,0,4,0,0,0,0,26,0,36161,1,1,0,0,-9983,234,10217,62,0
Watford FC,12/21/1995,2/8/2020 5:30:00 PM,Premier League,Argentina,Ignacio Pussetto,Right Winger,4,2019/2020,False,2019,23,0,0,2,0,0.3,604,11513,253,0,0,26,0.4,3.2,8,4,0,0,0,0,26,0,300,1,1,0,1,-31,34,65,49,0
Arsenal FC,12/10/1999,1/11/2020 12:30:00 PM,Premier League,England,Reiss Nelson,Right Winger,4,2019/2020,False,2019,19,0,0,2,0,0,489,9421,214,0,0,22,0.1,1.2,1,7,0,0,0,0,22,0,8981,1,1,0,1,167,894,727,53,0
Brighton & Hove Albion,8/11/1993,12/16/2019 7:45:00 PM,Premier League,Iran,Alireza Jahanbakhsh,Right Winger,4,2019/2020,False,2019,25,0,0,0,0,0,50,7476,164,0,0,17,0,0,0,7,0,0,0,0,17,0,4588,1,1,0,0,-20,35,55,58,0
Tottenham Hotspur,3/4/1992,7/26/2020 3:00:00 PM,Premier League,Argentina,Erik Lamela,Right Winger,4,2019/2020,False,2019,27,0,0,0,0,0,346,17722,374,0,0,47,0,0,0,7,0,0,0,0,47,0,84133,1,1,0,0,-340,457,797,57,0
Manchester United,12/4/1999,3/1/2020 2:00:00 PM,Premier League,Netherlands,Tahith Chong,Right Winger,4,2019/2020,False,2019,19,0,0,0,0,0,249,12560,274,0,0,28,0,0,0,8,0,0,0,0,28,0,46152,1,1,0,0,-871,491,1362,43,0
Southampton FC,7/5/1999,7/9/2020 5:00:00 PM,Premier League,England,Nathan Tella,Right Winger,4,2019/2020,False,2019,19,0,0,0,0,0,633,15817,336,0,0,43,0,0,0,8,0,0,0,0,43,0,37,1,1,0,0,-6,3,9,45,0
Tottenham Hotspur,3/4/1992,11/3/2019 4:30:00 PM,Premier League,Argentina,Erik Lamela,Right Winger,4,2019/2020,False,2019,27,0,0,0,0,0,346,4472,106,0,0,11,0,0,0,8,0,0,0,0,11,0,154290,1,1,0,0,-66691,1354,68045,59,0
Manchester City,2/5/1997,12/14/2019 3:00:00 PM,Premier League,England,Patrick Roberts,Right Winger,4,2019/2020,False,2019,22,0,0,0,0,0,435,7440,165,0,0,17,0,0,0,9,0,0,0,0,17,0,3899,1,1,0,0,-80,25,105,52,0
Norwich City,2/5/1997,12/14/2019 3:00:00 PM,Premier League,England,Patrick Roberts,Right Winger,4,2019/2020,False,2019,22,0,0,0,0,0,435,7441,165,0,0,17,0,0,0,9,0,0,0,0,17,0,3899,1,1,0,0,-80,25,105,52,0
Burnley FC,4/16/1987,7/11/2020 2:00:00 PM,Premier League,England,Aaron Lennon,Right Winger,4,2019/2020,False,2019,32,0,0,0,0,0,430,15963,344,0,0,44,0,0,0,10,0,0,0,0,44,0,6319,1,1,0,0,-119,8,127,46,0
Arsenal FC,12/10/1999,9/30/2019 7:00:00 PM,Premier League,England,Reiss Nelson,Right Winger,4,2019/2020,False,2019,19,0,0,5,0,8.8,489,2914,67,0,0,7,2.1,5.2,16,12,0,0,0,0,7,0,9170,1,1,7,1,-824,263,1087,54,0
Everton FC,3/16/1989,12/15/2019 2:00:00 PM,Premier League,England,Theo Walcott,Right Winger,4,2019/2020,False,2019,30,0,0,0,0,0,153,7388,167,0,0,17,0,0,0,12,0,0,0,0,17,0,28694,1,1,0,0,-1229,105,1334,62,0
Liverpool FC,4/4/2003,10/20/2019 3:30:00 PM,Premier League,England,Harvey Elliott,Right Winger,4,2019/2020,False,2019,16,0,0,0,0,0,550,3610,87,0,0,9,0,0,0,12,0,0,0,0,9,0,99,1,1,0,0,48,81,33,45,0
Liverpool FC,6/15/1992,10/20/2019 3:30:00 PM,Premier League,Egypt,Mohamed Salah,Right Winger,4,2019/2020,False,2019,27,0,0,0,0,0,191,3754,87,0,0,9,0,0,0,12,0,0,0,0,9,0,2186184,1,1,0,0,-601424,13726,615150,124,0
Liverpool FC,10/10/1991,10/20/2019 3:30:00 PM,Premier League,Switzerland,Xherdan Shaqiri,Right Winger,4,2019/2020,False,2019,27,0,0,0,0,0,194,3876,87,0,0,9,0,0,0,12,0,0,0,0,9,0,18048,1,1,0,0,-743,56,799,63,0
West Ham United,10/23/1989,7/22/2020 5:00:00 PM,Premier League,Ukraine,Andriy Yarmolenko,Right Winger,4,2019/2020,False,2019,29,0,0,3,0,0.3,392,17057,365,0,0,46,0.1,0.2,1,12,0,0,0,0,46,0,56114,1,1,0,1,-739,153,892,52,0
West Ham United,9/7/1987,7/22/2020 5:00:00 PM,Premier League,Scotland,Robert Snodgrass,Right Winger,4,2019/2020,False,2019,31,0,0,0,0,0,393,17466,365,0,0,46,0,0,0,12,0,0,0,0,46,0,45449,1,1,0,0,-973,23,996,50,0
Watford FC,2/25/1998,8/31/2019 2:00:00 PM,Premier League,Senegal,Ismaïla Sarr,Right Winger,4,2019/2020,False,2019,21,0,0,0,0,0,525,1435,38,0,0,4,0,0,0,13,0,0,0,0,4,0,11860,1,1,0,0,-921,1453,2374,65,0
Crystal Palace,7/16/1991,1/1/2020 5:30:00 PM,Premier League,England,Andros Townsend,Right Winger,4,2019/2020,False,2019,27,0,0,0,0,0,135,9263,207,0,0,21,0,0,0,14,0,0,0,0,21,0,77052,1,1,0,0,-2701,23,2724,56,0
Brighton & Hove Albion,8/11/1993,2/22/2020 3:00:00 PM,Premier League,Iran,Alireza Jahanbakhsh,Right Winger,4,2019/2020,False,2019,25,0,0,0,0,0,50,11841,268,0,0,27,0,0,0,15,0,0,0,0,27,0,8712,1,1,0,0,-398,233,631,58,0
Brighton & Hove Albion,8/11/1993,7/16/2020 7:15:00 PM,Premier League,Iran,Alireza Jahanbakhsh,Right Winger,4,2019/2020,False,2019,25,0,0,0,0,0,50,16515,359,0,0,45,0,0,0,16,0,0,0,0,45,0,7419,1,1,0,0,-21,27,48,58,0
Crystal Palace,7/16/1991,12/28/2019 3:00:00 PM,Premier League,England,Andros Townsend,Right Winger,4,2019/2020,False,2019,27,0,0,0,0,0,135,8791,198,0,0,20,0,0,0,16,0,0,0,0,20,0,79728,1,1,0,0,-2653,16,2669,56,0
Manchester United,10/1/2001,8/31/2019 11:30:00 AM,Premier League,England,Mason Greenwood,Right Winger,4,2019/2020,False,2019,17,0,0,2,0,0.3,234,1544,39,0,0,4,1.2,3,8,16,0,0,0,0,4,0,986503,1,1,9,1,-10310,118546,128856,45,0
Manchester United,12/4/1999,8/31/2019 11:30:00 AM,Premier League,Netherlands,Tahith Chong,Right Winger,4,2019/2020,False,2019,19,0,0,0,0,0,249,1656,39,0,0,4,0,0,0,16,0,0,0,0,4,0,35600,1,1,0,0,13396,21233,7837,44,0
Manchester United,10/1/2001,6/19/2020 7:15:00 PM,Premier League,England,Mason Greenwood,Right Winger,4,2019/2020,False,2019,17,0,0,1,0,2.2,234,13655,298,0,0,39,0.8,0,28,17,0,0,0,0,39,0,871059,1,1,6,1,6599,141553,134954,43,0
Manchester United,12/4/1999,6/19/2020 7:15:00 PM,Premier League,Netherlands,Tahith Chong,Right Winger,4,2019/2020,False,2019,19,0,0,0,0,0,249,13822,298,0,0,39,0,0,0,17,0,0,0,0,39,0,42600,1,1,0,0,-2267,730,2997,43,0
Watford FC,2/25/1998,10/19/2019 2:00:00 PM,Premier League,Senegal,Ismaïla Sarr,Right Winger,4,2019/2020,False,2019,21,0,0,0,0,0,525,3618,89,0,0,9,0,0,0,17,0,0,0,0,9,0,8720,1,1,0,0,-628,187,815,63,0
Leicester City,7/29/1993,6/20/2020 11:30:00 AM,Premier League,Spain,Ayoze Pérez,Right Winger,4,2019/2020,False,2019,25,0,0,0,0,0,265,13327,299,0,0,39,0,0,0,18,0,0,0,0,39,0,453720,1,1,0,0,-173063,2150,175213,62,0
Aston Villa,5/3/1995,7/26/2020 3:00:00 PM,Premier League,Netherlands,Anwar El Ghazi,Right Winger,4,2019/2020,False,2019,24,0,0,3,0,0,30,17605,380,0,0,47,0,0,1,19,0,0,0,0,47,0,55317,1,1,0,1,-1153,441,1594,52,0
Newcastle United,2/24/1995,1/11/2020 3:00:00 PM,Premier League,England,Jacob Murphy,Right Winger,4,2019/2020,False,2019,24,0,0,0,0,0,483,9633,220,0,0,22,0,0,0,20,0,0,0,0,22,0,572,1,1,0,0,-2,9,11,48,0
Arsenal FC,10/15/1988,12/26/2019 3:00:00 PM,Premier League,Germany,Mesut Özil,Attacking Midfield,4,2019/2020,False,2019,30,0,0,11,0,50.8,15,8271,182,1,0,19,8.9,12.6,74,3,0,0,0,0,19,0,60856,1,1,26,2,-917,4299,5216,72,0
Watford FC,1/7/1991,2/8/2020 5:30:00 PM,Premier League,Argentina,Roberto Pereyra,Attacking Midfield,4,2019/2020,False,2019,28,0,0,7,0,1.5,369,11538,253,1,0,26,1.3,5.8,81,4,0,0,0,0,26,0,50863,1,1,6,2,3717,4501,784,56,0
Arsenal FC,10/15/1988,1/11/2020 12:30:00 PM,Premier League,Germany,Mesut Özil,Attacking Midfield,4,2019/2020,False,2019,30,0,0,2,0,5,15,9686,214,1,0,22,0.9,3.6,69,7,0,0,0,0,22,0,89457,1,1,0,2,18872,24692,5820,72,0
Watford FC,1/7/1991,8/31/2019 2:00:00 PM,Premier League,Argentina,Roberto Pereyra,Attacking Midfield,4,2019/2020,False,2019,28,0,0,16,0,35.4,369,1620,38,1,0,4,6.1,14.6,90,13,0,0,0,0,4,0,99409,1,1,11,2,-47758,592,48350,59,0
Crystal Palace,9/18/1995,1/1/2020 5:30:00 PM,Premier League,Germany,Max Meyer,Attacking Midfield,4,2019/2020,False,2019,23,0,0,0,0,2,136,9034,207,1,0,21,2.8,4.8,59,14,0,0,0,0,21,0,6064,1,1,21,1,28,144,116,52,0
